query_id,row_time,col_time,gap,use_imci,cost_threshold_label,hybrid_optimizer_label,fann_model_label,sqlQuery
665,27.054140,1.220521,25.833619,1,1,1,1,"SELECT part.p_comment, part.p_partkey, part.p_mfgr FROM part WHERE part.p_type = 'ECONOMY PLATED COPPER';"
669,0.006308,45.526718,45.520410,0,1,1,1,"SELECT lineitem.l_shipinstruct, MAX(part.p_partkey) as agg_0, MAX(lineitem.l_partkey) as agg_1 FROM partsupp JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN part ON partsupp.ps_partkey = part.p_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE customer.c_custkey <= 194819.42527361927 GROUP BY lineitem.l_shipinstruct ORDER BY lineitem.l_shipinstruct;"
676,44.550167,4.163241,40.386926,1,1,1,1,"SELECT part.p_mfgr, part.p_partkey, part.p_container FROM part WHERE part.p_brand = 'Brand#12';"
686,33.727496,3.611252,30.116244,1,1,0,1,"SELECT lineitem.l_commitdate, lineitem.l_linenumber, lineitem.l_shipinstruct FROM lineitem WHERE lineitem.l_commitdate = '1994-08-16';"
693,21.759008,5.677860,16.081148,1,1,1,1,"SELECT SUM(lineitem.l_discount + lineitem.l_tax) as agg_0, SUM(partsupp.ps_availqty) as agg_1, AVG(lineitem.l_partkey) as agg_2 FROM partsupp JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey  WHERE lineitem.l_shipdate = '1997-07-17' AND lineitem.l_quantity <= 44.165880129040275 AND lineitem.l_discount <= 0.0750354542812635 AND (partsupp.ps_partkey >= 15817247.422681855 OR (partsupp.ps_availqty >= 7577.832157833943 AND partsupp.ps_partkey >= 6982899.705316764)) AND lineitem.l_returnflag != 'R' AND lineitem.l_linestatus IN ('F');"
731,34.575885,3.492666,31.083219,1,1,0,1,"SELECT lineitem.l_linenumber, lineitem.l_suppkey, lineitem.l_linestatus FROM lineitem WHERE lineitem.l_shipdate = '1993-01-17';"
737,33.487857,0.050372,33.437486,1,1,1,1,"SELECT customer.c_mktsegment, MIN(lineitem.l_discount + lineitem.l_orderkey) as agg_0, COUNT(*) as agg_1 FROM lineitem JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey JOIN part ON partsupp.ps_partkey = part.p_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN customer ON orders.o_custkey = customer.c_custkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey  WHERE (region.r_regionkey >= 0.08805518658091725 OR region.r_regionkey >= 2.674687558171843) AND part.p_retailprice <= 1482.2511209181653 AND (supplier.s_nationkey >= 1.374070283775105 OR supplier.s_acctbal <= 7785.5543621869565 OR supplier.s_nationkey <= 15.16580022329608) AND customer.c_mktsegment != 'AUTOMOBILE' AND region.r_comment = 'ges. thinly even pinto beans ca' AND part.p_mfgr IN ('Manufacturer#4') AND nation.n_name IN ('IRAQ', 'CANADA', 'INDONESIA') GROUP BY customer.c_mktsegment HAVING COUNT(*) != 0 ORDER BY customer.c_mktsegment LIMIT 10;"
745,0.026484,10.860954,10.834470,0,1,1,1,"SELECT part.p_type, part.p_brand, orders.o_orderstatus, MIN(lineitem.l_orderkey) as agg_0 FROM customer JOIN orders ON customer.c_custkey = orders.o_custkey JOIN lineitem ON orders.o_orderkey = lineitem.l_orderkey JOIN partsupp ON lineitem.l_partkey = partsupp.ps_partkey AND lineitem.l_suppkey = partsupp.ps_suppkey JOIN part ON partsupp.ps_partkey = part.p_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey  WHERE customer.c_mktsegment = 'AUTOMOBILE' AND (nation.n_name IN ('UNITED STATES', 'ETHIOPIA', 'JORDAN', 'INDONESIA') OR (nation.n_nationkey <= 3.827348782230896 AND nation.n_name IN ('EGYPT', 'GERMANY', 'INDONESIA', 'UNITED KINGDOM', 'JORDAN', 'UNITED STATES'))) AND partsupp.ps_supplycost >= 440.4690712598647 AND part.p_container NOT LIKE '%S%M%' AND (partsupp.ps_comment LIKE '%run%' OR partsupp.ps_comment NOT LIKE '%b%lithely%' OR partsupp.ps_comment LIKE '%express%') AND orders.o_custkey <= 12992564.933411386 AND nation.n_name LIKE '%UNITED%' AND part.p_partkey <= 12863464.950906543 AND lineitem.l_comment NOT LIKE '%fo%xes%' AND (orders.o_comment NOT LIKE '%th%e%' OR orders.o_comment NOT LIKE '%dolphin%s%' OR orders.o_comment NOT LIKE '%unusua%l%') AND customer.c_mktsegment NOT LIKE '%AUTOMOBILE%' AND orders.o_orderstatus IN ('O', 'P', 'F') AND orders.o_orderdate = '1996-02-13' AND lineitem.l_orderkey <= 599428394.9550663 GROUP BY part.p_type, part.p_brand, orders.o_orderstatus ORDER BY part.p_type, part.p_brand, orders.o_orderstatus;"
748,0.014877,53.759104,53.744227,0,1,1,1,"SELECT customer.c_mktsegment, region.r_name, lineitem.l_receiptdate, MIN(partsupp.ps_availqty + customer.c_nationkey) as agg_0, MAX(region.r_regionkey) as agg_1, MAX(lineitem.l_quantity + lineitem.l_tax) as agg_2 FROM part JOIN partsupp ON part.p_partkey = partsupp.ps_partkey JOIN supplier ON partsupp.ps_suppkey = supplier.s_suppkey JOIN lineitem ON partsupp.ps_partkey = lineitem.l_partkey AND partsupp.ps_suppkey = lineitem.l_suppkey JOIN nation ON supplier.s_nationkey = nation.n_nationkey JOIN region ON nation.n_regionkey = region.r_regionkey JOIN orders ON lineitem.l_orderkey = orders.o_orderkey JOIN customer ON orders.o_custkey = customer.c_custkey  WHERE orders.o_orderstatus IN ('F', 'O') AND lineitem.l_returnflag IN ('R', 'A') AND orders.o_orderdate = '1992-12-01' AND customer.c_mktsegment NOT LIKE '%BUI%LDING%' AND nation.n_name NOT LIKE '%UNITED%' AND customer.c_mktsegment NOT LIKE '%FURNITURE%' AND (region.r_comment NOT LIKE '%r%egular%' OR region.r_comment != 'ly final courts cajole furiously final excuse') AND orders.o_orderkey <= 469820468.57885313 AND region.r_name != 'MIDDLE EAST' GROUP BY customer.c_mktsegment, region.r_name, lineitem.l_receiptdate ORDER BY customer.c_mktsegment, region.r_name, lineitem.l_receiptdate LIMIT 10;"
752,34.036708,3.800916,30.235792,1,1,1,1,"SELECT part.p_type, part.p_mfgr, part.p_container FROM part WHERE part.p_brand = 'Brand#12';"
